,pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
86,87,dewgong,water,ice,"[['pay-day', 'normal'], ['headbutt', 'normal'], ['horn-drill', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['disable', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['aurora-beam', 'ice'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['haze', 'ice'], ['bide', 'normal'], ['lick', 'ghost'], ['waterfall', 'water'], ['skull-bash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['perish-song', 'normal'], ['icy-wind', 'ice'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['megahorn', 'bug'], ['encore', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['whirlpool', 'water'], ['fake-out', 'normal'], ['uproar', 'normal'], ['stockpile', 'normal'], ['spit-up', 'normal'], ['swallow', 'normal'], ['hail', 'ice'], ['facade', 'normal'], ['helping-hand', 'normal'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['weather-ball', 'normal'], ['signal-beam', 'bug'], ['sheer-cold', 'ice'], ['muddy-water', 'water'], ['icicle-spear', 'ice'], ['water-pulse', 'water'], ['brine', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['aqua-ring', 'water'], ['aqua-tail', 'water'], ['giga-impact', 'normal'], ['avalanche', 'ice'], ['ice-shard', 'ice'], ['captivate', 'normal'], ['aqua-jet', 'water'], ['entrainment', 'normal'], ['round', 'normal'], ['echoed-voice', 'normal'], ['frost-breath', 'ice'], ['drill-run', 'ground'], ['belch', 'poison'], ['play-rough', 'fairy'], ['confide', 'normal'], ['smart-strike', 'steel'], ['liquidation', 'water'], ['flip-turn', 'water'], ['triple-axel', 'ice'], ['tera-blast', 'normal'], ['ice-spinner', 'ice'], ['snowscape', 'ice'], ['chilling-water', 'water'], ['alluring-voice', 'fairy']]",90,70,80,70,95,70
87,88,grimer,poison,,"[['pound', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['disable', 'normal'], ['flamethrower', 'fire'], ['strength', 'normal'], ['mega-drain', 'grass'], ['thunderbolt', 'electric'], ['thunder', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['harden', 'normal'], ['minimize', 'normal'], ['confuse-ray', 'ghost'], ['haze', 'ice'], ['bide', 'normal'], ['metronome', 'normal'], ['self-destruct', 'normal'], ['lick', 'ghost'], ['smog', 'poison'], ['sludge', 'poison'], ['fire-blast', 'fire'], ['poison-gas', 'poison'], ['acid-armor', 'poison'], ['explosion', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['sandstorm', 'rock'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['mean-look', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['dynamic-punch', 'fighting'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['shadow-ball', 'ghost'], ['stockpile', 'normal'], ['spit-up', 'normal'], ['swallow', 'normal'], ['torment', 'dark'], ['memento', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['imprison', 'psychic'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['shadow-punch', 'ghost'], ['mud-shot', 'ground'], ['shock-wave', 'electric'], ['natural-gift', 'normal'], ['payback', 'dark'], ['fling', 'dark'], ['poison-jab', 'poison'], ['drain-punch', 'fighting'], ['shadow-sneak', 'ghost'], ['mud-bomb', 'ground'], ['zen-headbutt', 'psychic'], ['gunk-shot', 'poison'], ['captivate', 'normal'], ['venoshock', 'poison'], ['sludge-wave', 'poison'], ['acid-spray', 'poison'], ['round', 'normal'], ['hex', 'ghost'], ['incinerate', 'fire'], ['belch', 'poison'], ['confide', 'normal'], ['infestation', 'bug'], ['power-up-punch', 'fighting'], ['tera-blast', 'normal']]",80,80,50,40,50,25
88,89,muk,poison,,"[['pound', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['disable', 'normal'], ['flamethrower', 'fire'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['mega-drain', 'grass'], ['thunderbolt', 'electric'], ['thunder', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['harden', 'normal'], ['minimize', 'normal'], ['confuse-ray', 'ghost'], ['haze', 'ice'], ['bide', 'normal'], ['metronome', 'normal'], ['self-destruct', 'normal'], ['smog', 'poison'], ['sludge', 'poison'], ['fire-blast', 'fire'], ['swift', 'normal'], ['poison-gas', 'poison'], ['acid-armor', 'poison'], ['explosion', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['sandstorm', 'rock'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['dynamic-punch', 'fighting'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['shadow-ball', 'ghost'], ['rock-smash', 'fighting'], ['torment', 'dark'], ['memento', 'dark'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['imprison', 'psychic'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['block', 'normal'], ['mud-shot', 'ground'], ['shock-wave', 'electric'], ['natural-gift', 'normal'], ['payback', 'dark'], ['fling', 'dark'], ['toxic-spikes', 'poison'], ['poison-jab', 'poison'], ['dark-pulse', 'dark'], ['drain-punch', 'fighting'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['mud-bomb', 'ground'], ['zen-headbutt', 'psychic'], ['gunk-shot', 'poison'], ['captivate', 'normal'], ['venoshock', 'poison'], ['sludge-wave', 'poison'], ['acid-spray', 'poison'], ['round', 'normal'], ['hex', 'ghost'], ['incinerate', 'fire'], ['belch', 'poison'], ['moonblast', 'fairy'], ['confide', 'normal'], ['venom-drench', 'poison'], ['infestation', 'bug'], ['power-up-punch', 'fighting'], ['lunge', 'bug'], ['lash-out', 'dark'], ['tera-blast', 'normal']]",105,105,75,65,100,50
89,90,shellder,water,,"[['headbutt', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['twineedle', 'bug'], ['leer', 'normal'], ['supersonic', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['aurora-beam', 'ice'], ['toxic', 'poison'], ['rage', 'normal'], ['teleport', 'psychic'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['withdraw', 'water'], ['barrier', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['self-destruct', 'normal'], ['waterfall', 'water'], ['clamp', 'water'], ['swift', 'normal'], ['explosion', 'normal'], ['rest', 'psychic'], ['tri-attack', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['spikes', 'ground'], ['icy-wind', 'ice'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['rapid-spin', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['whirlpool', 'water'], ['hail', 'ice'], ['facade', 'normal'], ['helping-hand', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['icicle-spear', 'ice'], ['iron-defense', 'steel'], ['mud-shot', 'ground'], ['rock-blast', 'rock'], ['water-pulse', 'water'], ['brine', 'water'], ['natural-gift', 'normal'], ['payback', 'dark'], ['toxic-spikes', 'poison'], ['aqua-ring', 'water'], ['avalanche', 'ice'], ['ice-shard', 'ice'], ['captivate', 'normal'], ['round', 'normal'], ['shell-smash', 'normal'], ['razor-shell', 'water'], ['confide', 'normal'], ['liquidation', 'water'], ['life-dew', 'water'], ['tera-blast', 'normal'], ['ice-spinner', 'ice'], ['snowscape', 'ice'], ['chilling-water', 'water']]",30,65,100,45,25,40
90,91,cloyster,water,ice,"[['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['twineedle', 'bug'], ['pin-missile', 'bug'], ['leer', 'normal'], ['supersonic', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['aurora-beam', 'ice'], ['hyper-beam', 'normal'], ['toxic', 'poison'], ['rage', 'normal'], ['teleport', 'psychic'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['withdraw', 'water'], ['barrier', 'psychic'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['self-destruct', 'normal'], ['waterfall', 'water'], ['clamp', 'water'], ['swift', 'normal'], ['spike-cannon', 'normal'], ['explosion', 'normal'], ['rest', 'psychic'], ['tri-attack', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['spikes', 'ground'], ['icy-wind', 'ice'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['whirlpool', 'water'], ['hail', 'ice'], ['torment', 'dark'], ['facade', 'normal'], ['helping-hand', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['weather-ball', 'normal'], ['signal-beam', 'bug'], ['icicle-spear', 'ice'], ['iron-defense', 'steel'], ['mud-shot', 'ground'], ['rock-blast', 'rock'], ['water-pulse', 'water'], ['brine', 'water'], ['natural-gift', 'normal'], ['payback', 'dark'], ['toxic-spikes', 'poison'], ['poison-jab', 'poison'], ['giga-impact', 'normal'], ['avalanche', 'ice'], ['ice-shard', 'ice'], ['captivate', 'normal'], ['round', 'normal'], ['shell-smash', 'normal'], ['frost-breath', 'ice'], ['drill-run', 'ground'], ['razor-shell', 'water'], ['icicle-crash', 'ice'], ['confide', 'normal'], ['smart-strike', 'steel'], ['liquidation', 'water'], ['steel-roller', 'steel'], ['tera-blast', 'normal'], ['ice-spinner', 'ice'], ['snowscape', 'ice'], ['chilling-water', 'water']]",50,95,180,85,45,70
91,92,gastly,ghost,poison,"[['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['headbutt', 'normal'], ['disable', 'normal'], ['mega-drain', 'grass'], ['thunderbolt', 'electric'], ['thunder', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['hypnosis', 'psychic'], ['rage', 'normal'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['haze', 'ice'], ['bide', 'normal'], ['self-destruct', 'normal'], ['lick', 'ghost'], ['smog', 'poison'], ['dream-eater', 'psychic'], ['poison-gas', 'poison'], ['psywave', 'psychic'], ['explosion', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['zap-cannon', 'electric'], ['destiny-bond', 'ghost'], ['perish-song', 'normal'], ['icy-wind', 'ice'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['mean-look', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['uproar', 'normal'], ['torment', 'dark'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['taunt', 'dark'], ['trick', 'psychic'], ['knock-off', 'dark'], ['skill-swap', 'psychic'], ['imprison', 'psychic'], ['grudge', 'ghost'], ['snatch', 'dark'], ['secret-power', 'normal'], ['astonish', 'ghost'], ['natural-gift', 'normal'], ['payback', 'dark'], ['embargo', 'dark'], ['sucker-punch', 'dark'], ['poison-jab', 'poison'], ['dark-pulse', 'dark'], ['energy-ball', 'grass'], ['nasty-plot', 'dark'], ['trick-room', 'psychic'], ['gunk-shot', 'poison'], ['captivate', 'normal'], ['ominous-wind', 'ghost'], ['wonder-room', 'psychic'], ['venoshock', 'poison'], ['telekinesis', 'psychic'], ['sludge-wave', 'poison'], ['acid-spray', 'poison'], ['foul-play', 'dark'], ['round', 'normal'], ['clear-smog', 'poison'], ['ally-switch', 'psychic'], ['hex', 'ghost'], ['reflect-type', 'normal'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['infestation', 'bug'], ['skitter-smack', 'bug'], ['poltergeist', 'ghost'], ['corrosive-gas', 'poison'], ['tera-blast', 'normal']]",30,35,30,100,35,80
92,93,haunter,ghost,poison,"[['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['headbutt', 'normal'], ['mega-drain', 'grass'], ['thunderbolt', 'electric'], ['thunder', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['hypnosis', 'psychic'], ['rage', 'normal'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['haze', 'ice'], ['bide', 'normal'], ['metronome', 'normal'], ['self-destruct', 'normal'], ['lick', 'ghost'], ['smog', 'poison'], ['dream-eater', 'psychic'], ['poison-gas', 'poison'], ['psywave', 'psychic'], ['explosion', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['zap-cannon', 'electric'], ['destiny-bond', 'ghost'], ['icy-wind', 'ice'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['mean-look', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['encore', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['uproar', 'normal'], ['torment', 'dark'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['taunt', 'dark'], ['trick', 'psychic'], ['knock-off', 'dark'], ['skill-swap', 'psychic'], ['imprison', 'psychic'], ['snatch', 'dark'], ['secret-power', 'normal'], ['astonish', 'ghost'], ['shadow-punch', 'ghost'], ['natural-gift', 'normal'], ['payback', 'dark'], ['embargo', 'dark'], ['fling', 'dark'], ['sucker-punch', 'dark'], ['toxic-spikes', 'poison'], ['poison-jab', 'poison'], ['dark-pulse', 'dark'], ['focus-blast', 'fighting'], ['energy-ball', 'grass'], ['nasty-plot', 'dark'], ['shadow-claw', 'ghost'], ['trick-room', 'psychic'], ['gunk-shot', 'poison'], ['captivate', 'normal'], ['ominous-wind', 'ghost'], ['wonder-room', 'psychic'], ['venoshock', 'poison'], ['telekinesis', 'psychic'], ['sludge-wave', 'poison'], ['acid-spray', 'poison'], ['foul-play', 'dark'], ['round', 'normal'], ['ally-switch', 'psychic'], ['hex', 'ghost'], ['phantom-force', 'ghost'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['infestation', 'bug'], ['skitter-smack', 'bug'], ['poltergeist', 'ghost'], ['corrosive-gas', 'poison'], ['tera-blast', 'normal']]",45,50,45,115,55,95
93,94,gengar,ghost,poison,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['disable', 'normal'], ['hyper-beam', 'normal'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['mega-drain', 'grass'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['hypnosis', 'psychic'], ['rage', 'normal'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['haze', 'ice'], ['bide', 'normal'], ['metronome', 'normal'], ['self-destruct', 'normal'], ['lick', 'ghost'], ['smog', 'poison'], ['skull-bash', 'normal'], ['dream-eater', 'psychic'], ['poison-gas', 'poison'], ['psywave', 'psychic'], ['explosion', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['zap-cannon', 'electric'], ['destiny-bond', 'ghost'], ['perish-song', 'normal'], ['icy-wind', 'ice'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['mean-look', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['dynamic-punch', 'fighting'], ['encore', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['torment', 'dark'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['taunt', 'dark'], ['trick', 'psychic'], ['role-play', 'psychic'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['skill-swap', 'psychic'], ['imprison', 'psychic'], ['snatch', 'dark'], ['secret-power', 'normal'], ['astonish', 'ghost'], ['shadow-punch', 'ghost'], ['natural-gift', 'normal'], ['payback', 'dark'], ['embargo', 'dark'], ['fling', 'dark'], ['sucker-punch', 'dark'], ['toxic-spikes', 'poison'], ['poison-jab', 'poison'], ['dark-pulse', 'dark'], ['drain-punch', 'fighting'], ['focus-blast', 'fighting'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['shadow-claw', 'ghost'], ['trick-room', 'psychic'], ['gunk-shot', 'poison'], ['captivate', 'normal'], ['ominous-wind', 'ghost'], ['wonder-room', 'psychic'], ['venoshock', 'poison'], ['telekinesis', 'psychic'], ['sludge-wave', 'poison'], ['acid-spray', 'poison'], ['foul-play', 'dark'], ['round', 'normal'], ['ally-switch', 'psychic'], ['hex', 'ghost'], ['reflect-type', 'normal'], ['phantom-force', 'ghost'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['infestation', 'bug'], ['power-up-punch', 'fighting'], ['laser-focus', 'normal'], ['skitter-smack', 'bug'], ['poltergeist', 'ghost'], ['corrosive-gas', 'poison'], ['tera-blast', 'normal'], ['psychic-noise', 'psychic']]",60,65,60,130,75,110
94,95,onix,rock,ground,"[['bind', 'normal'], ['slam', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['roar', 'normal'], ['strength', 'normal'], ['rock-throw', 'rock'], ['earthquake', 'ground'], ['fissure', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['harden', 'normal'], ['defense-curl', 'normal'], ['bide', 'normal'], ['self-destruct', 'normal'], ['skull-bash', 'normal'], ['explosion', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['scary-face', 'normal'], ['mud-slap', 'ground'], ['sandstorm', 'rock'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dragon-breath', 'dragon'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['torment', 'dark'], ['facade', 'normal'], ['nature-power', 'normal'], ['taunt', 'dark'], ['secret-power', 'normal'], ['mud-sport', 'ground'], ['rock-tomb', 'rock'], ['sand-tomb', 'ground'], ['block', 'normal'], ['dragon-dance', 'dragon'], ['rock-blast', 'rock'], ['gyro-ball', 'steel'], ['natural-gift', 'normal'], ['payback', 'dark'], ['rock-polish', 'rock'], ['dragon-pulse', 'dragon'], ['earth-power', 'ground'], ['flash-cannon', 'steel'], ['rock-climb', 'normal'], ['iron-head', 'steel'], ['stone-edge', 'rock'], ['captivate', 'normal'], ['stealth-rock', 'rock'], ['head-smash', 'rock'], ['wide-guard', 'rock'], ['smack-down', 'rock'], ['heavy-slam', 'steel'], ['round', 'normal'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['drill-run', 'ground'], ['rototiller', 'ground'], ['confide', 'normal'], ['high-horsepower', 'ground'], ['brutal-swing', 'dark'], ['stomping-tantrum', 'ground'], ['body-press', 'fighting'], ['breaking-swipe', 'dragon'], ['meteor-beam', 'rock'], ['scorching-sands', 'ground']]",35,45,160,30,45,70
95,96,drowzee,psychic,,"[['pound', 'normal'], ['mega-punch', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['disable', 'normal'], ['psybeam', 'psychic'], ['submission', 'fighting'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['thunder-wave', 'electric'], ['toxic', 'poison'], ['confusion', 'psychic'], ['psychic', 'psychic'], ['hypnosis', 'psychic'], ['meditate', 'psychic'], ['rage', 'normal'], ['teleport', 'psychic'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['double-team', 'normal'], ['barrier', 'psychic'], ['light-screen', 'psychic'], ['haze', 'ice'], ['reflect', 'psychic'], ['bide', 'normal'], ['metronome', 'normal'], ['swift', 'normal'], ['skull-bash', 'normal'], ['dream-eater', 'psychic'], ['poison-gas', 'poison'], ['flash', 'normal'], ['psywave', 'psychic'], ['rest', 'psychic'], ['tri-attack', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['mind-reader', 'normal'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['zap-cannon', 'electric'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['dynamic-punch', 'fighting'], ['encore', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['future-sight', 'psychic'], ['torment', 'dark'], ['flatter', 'dark'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['trick', 'psychic'], ['role-play', 'psychic'], ['assist', 'normal'], ['magic-coat', 'psychic'], ['recycle', 'normal'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['skill-swap', 'psychic'], ['imprison', 'psychic'], ['snatch', 'dark'], ['secret-power', 'normal'], ['signal-beam', 'bug'], ['calm-mind', 'psychic'], ['wake-up-slap', 'fighting'], ['natural-gift', 'normal'], ['fling', 'dark'], ['guard-swap', 'psychic'], ['drain-punch', 'fighting'], ['focus-blast', 'fighting'], ['nasty-plot', 'dark'], ['psycho-cut', 'psychic'], ['zen-headbutt', 'psychic'], ['trick-room', 'psychic'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['power-split', 'psychic'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['magic-room', 'psychic'], ['synchronoise', 'psychic'], ['low-sweep', 'fighting'], ['foul-play', 'dark'], ['round', 'normal'], ['stored-power', 'psychic'], ['ally-switch', 'psychic'], ['draining-kiss', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['power-up-punch', 'fighting'], ['psychic-terrain', 'psychic'], ['expanding-force', 'psychic'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['psychic-noise', 'psychic']]",60,48,45,43,90,42
